length,height,whole_weight,sex_I,sex_M,age
0.625,0.4636809247747852,1.4455,0,1,3
0.275,0.27386127875258304,0.1155,1,0,1
0.44,0.3674234614174767,0.435,1,0,1
0.295,0.282842712474619,0.124,1,0,1
0.075,0.1,0.002,1,0,1
0.13,0.17320508075688773,0.013,1,0,1
0.11,0.17320508075688773,0.008,1,0,1
0.16,0.18708286933869708,0.021,1,0,1
0.565,0.4,0.9425,0,1,2
0.27,0.2645751311064591,0.1,1,0,1
0.23,0.25495097567963926,0.0645,1,0,1
0.3,0.282842712474619,0.1275,1,0,1
0.33,0.29154759474226505,0.1655,1,0,1
0.35,0.29154759474226505,0.174,1,0,1
0.32,0.282842712474619,0.1585,1,0,1
0.36,0.29154759474226505,0.1975,1,0,1
0.305,0.27386127875258304,0.156,1,0,1
0.345,0.33166247903553997,0.2135,1,0,1
0.33,0.324037034920393,0.1715,1,0,1
0.59,0.4242640687119285,1.1235,0,1,3
0.595,0.39370039370059057,1.0605,0,0,3
0.575,0.4301162633521313,1.094,0,0,3
0.6,0.406201920231798,1.2415,0,1,3
0.56,0.4183300132670378,1.011,0,1,3
0.56,0.4301162633521313,1.07,0,1,3
0.545,0.4,0.8975,0,1,2
0.635,0.41231056256176607,1.415,0,0,3
0.59,0.4,1.1015,0,0,3
0.54,0.39370039370059057,0.928,0,0,2
0.57,0.3535533905932738,0.865,0,0,2
0.53,0.406201920231798,0.8945,0,1,2
0.245,0.2449489742783178,0.095,1,0,1
0.27,0.282842712474619,0.1205,0,1,1
0.46,0.36055512754639896,0.639,0,0,2
0.52,0.3872983346207417,0.895,0,1,2
0.35,0.33166247903553997,0.2925,0,1,1
0.47,0.3872983346207417,0.6355,0,1,2
0.45,0.3535533905932738,0.4995,0,0,1
0.64,0.4636809247747852,1.779,0,0,3
0.59,0.4472135954999579,1.187,0,1,3
0.62,0.4527692569068708,1.219,0,1,3
0.63,0.4743416490252569,1.525,0,1,3
0.63,0.39370039370059057,1.259,0,1,3
0.655,0.4636809247747852,1.844,0,1,3
0.66,0.4301162633521313,1.3485,0,0,3
0.61,0.4898979485566356,1.642,0,1,3
0.635,0.4527692569068708,1.484,0,1,3
0.515,0.3674234614174767,0.712,0,0,2
0.535,0.4301162633521313,0.8415,0,0,2
0.36,0.324037034920393,0.2415,1,0,1
0.455,0.34641016151377546,0.4495,0,0,1
0.485,0.37416573867739417,0.6295,0,1,2
0.515,0.4183300132670378,0.9565,0,1,2
0.535,0.41231056256176607,0.879,0,0,2
0.53,0.39370039370059057,0.699,0,1,2
0.495,0.39370039370059057,0.6445,0,0,2
0.44,0.3535533905932738,0.4775,0,1,1
0.535,0.4,0.8105,0,0,2
0.54,0.4242640687119285,0.996,0,1,2
0.565,0.458257569495584,1.2765,0,0,3
0.61,0.406201920231798,1.116,0,1,3
0.565,0.4183300132670378,1.013,0,0,3
0.6,0.44158804331639234,1.0575,0,1,3
0.295,0.29154759474226505,0.128,1,0,1
0.275,0.27386127875258304,0.1105,1,0,1
0.28,0.29154759474226505,0.1065,1,0,1
0.49,0.37416573867739417,0.549,0,1,1
0.37,0.324037034920393,0.234,0,1,1
0.405,0.3082207001484488,0.3485,0,0,1
0.54,0.4183300132670378,0.892,0,0,2
0.37,0.31622776601683794,0.252,0,1,1
0.36,0.31622776601683794,0.217,0,1,1
0.47,0.36055512754639896,0.472,0,0,1
0.2,0.2449489742783178,0.037,1,0,1
0.165,0.17320508075688773,0.0215,1,0,1
0.645,0.4898979485566356,1.5415,0,1,3
0.55,0.3535533905932738,0.7605,0,1,2
0.57,0.3807886552931954,0.9055,0,1,2
0.63,0.43588989435406733,1.2435,0,0,3
0.56,0.37416573867739417,0.971,0,1,2
0.595,0.44158804331639234,1.3305,0,1,3
0.62,0.4472135954999579,1.2255,0,0,3
0.63,0.4183300132670378,1.3,0,1,3
0.45,0.33166247903553997,0.4585,1,0,1
0.635,0.43588989435406733,1.242,0,0,3
0.45,0.31622776601683794,0.3675,0,1,1
0.58,0.39370039370059057,0.8365,0,0,2
0.33,0.3082207001484488,0.172,1,0,1
0.265,0.2449489742783178,0.0965,1,0,1
0.19,0.2,0.038,1,0,1
0.385,0.31622776601683794,0.2845,0,1,1
0.265,0.2645751311064591,0.1055,1,0,1
0.335,0.324037034920393,0.222,0,1,1
0.355,0.3,0.251,1,0,1
0.32,0.31622776601683794,0.1755,1,0,1
0.51,0.36055512754639896,0.6435,0,1,2
0.36,0.324037034920393,0.241,0,1,1
0.36,0.3,0.2255,1,0,1
0.5,0.39370039370059057,0.5955,0,1,1
0.4,0.34641016151377546,0.3185,0,0,1
0.3,0.282842712474619,0.121,1,0,1
0.235,0.2,0.0705,1,0,1
0.74,0.44158804331639234,1.974,0,0,3
0.62,0.43588989435406733,1.3415,0,1,3
0.6,0.43588989435406733,1.0875,0,1,3
0.59,0.4301162633521313,1.283,0,1,3
0.62,0.4301162633521313,1.325,0,1,3
0.565,0.44158804331639234,1.0035,0,0,3
0.575,0.3807886552931954,1.165,0,1,3
0.62,0.4527692569068708,1.3475,0,0,3
0.62,0.4301162633521313,1.274,0,1,3
0.505,0.4242640687119285,0.568,0,0,1
0.46,0.39370039370059057,0.746,0,0,2
0.49,0.37416573867739417,0.707,0,1,2
0.525,0.4,0.756,0,0,2
0.34,0.282842712474619,0.2,1,0,1
0.375,0.3391164991562634,0.2715,1,0,1
0.61,0.3872983346207417,1.2,0,1,3
0.61,0.4301162633521313,1.153,0,0,3
0.585,0.41231056256176607,0.8685,0,0,2
0.57,0.37416573867739417,0.9535,0,1,2
0.58,0.41231056256176607,0.93,0,1,2
0.635,0.41231056256176607,1.275,0,1,3
0.7,0.4527692569068708,2.13,0,1,3
0.675,0.4301162633521313,1.587,0,1,3
0.645,0.43588989435406733,1.8085,0,0,3
0.745,0.4636809247747852,2.499,0,1,3
0.685,0.4242640687119285,1.768,0,0,3
0.605,0.4242640687119285,1.227,0,1,3
0.59,0.3872983346207417,0.997,0,0,2
0.65,0.4183300132670378,1.4225,0,0,3
0.6,0.3872983346207417,1.029,0,0,3
0.62,0.4183300132670378,1.186,0,0,3
0.63,0.4,1.016,0,1,3
0.58,0.3807886552931954,0.887,0,1,2
0.58,0.34641016151377546,1.0735,0,0,3
0.63,0.4242640687119285,1.13,0,1,3
0.69,0.4636809247747852,1.719,0,0,3
0.65,0.406201920231798,1.566,0,0,3
0.66,0.44158804331639234,1.7605,0,0,3
0.68,0.4472135954999579,1.787,0,0,3
0.7,0.41231056256176607,1.31,0,0,3
0.685,0.3872983346207417,1.343,0,1,3
0.675,0.44158804331639234,1.7345,0,0,3
0.63,0.43588989435406733,1.1775,0,1,3
0.585,0.4,1.077,0,0,3
0.565,0.4183300132670378,0.995,0,1,2
0.61,0.4301162633521313,1.1085,0,0,3
0.605,0.4242640687119285,1.1405,0,1,3
0.535,0.3807886552931954,0.791,0,1,2
0.485,0.3674234614174767,0.663,0,1,2
0.47,0.34641016151377546,0.5565,0,1,1
0.545,0.3674234614174767,0.8445,0,1,2
0.455,0.324037034920393,0.4925,0,0,1
0.54,0.39370039370059057,0.7385,0,1,2
0.46,0.3674234614174767,0.482,0,1,1
0.49,0.3535533905932738,0.609,0,1,2
0.465,0.34641016151377546,0.471,1,0,1
0.415,0.31622776601683794,0.3215,1,0,1
0.475,0.3535533905932738,0.593,0,1,1
0.47,0.3535533905932738,0.5615,0,0,1
0.365,0.3082207001484488,0.25,1,0,1
0.345,0.3082207001484488,0.1995,1,0,1
0.39,0.31622776601683794,0.302,1,0,1
0.5,0.37416573867739417,0.7155,0,0,2
0.47,0.3807886552931954,0.5865,0,1,1
0.535,0.3872983346207417,0.6765,0,1,2
0.585,0.3872983346207417,0.987,0,1,2
0.485,0.34641016151377546,0.5885,0,0,1
0.515,0.3674234614174767,0.7225,0,1,2
0.435,0.33166247903553997,0.4335,0,0,1
0.515,0.37416573867739417,0.6935,0,0,2
0.44,0.34641016151377546,0.365,1,0,1
0.525,0.3872983346207417,0.8425,0,0,2
0.45,0.3391164991562634,0.479,0,1,1
0.59,0.34641016151377546,0.911,0,1,2
0.555,0.3807886552931954,0.915,0,1,2
0.57,0.3082207001484488,0.827,0,1,2
0.59,0.406201920231798,1.1045,0,1,3
0.585,0.34641016151377546,0.945,0,1,2
0.58,0.34641016151377546,0.9935,0,0,2
0.545,0.34641016151377546,0.8565,0,1,2
0.605,0.41231056256176607,1.2385,0,0,3
0.62,0.37416573867739417,1.0325,0,0,3
0.63,0.41231056256176607,1.3135,0,0,3
0.63,0.406201920231798,1.352,0,1,3
0.63,0.39370039370059057,1.005,0,0,3
0.545,0.37416573867739417,0.625,0,1,2
0.67,0.406201920231798,1.5015,0,0,3
0.49,0.34641016151377546,0.529,1,0,1
0.49,0.3674234614174767,0.5785,0,0,1
0.29,0.2645751311064591,0.101,1,0,1
0.26,0.2645751311064591,0.092,1,0,1
0.58,0.4183300132670378,1.068,0,1,3
0.61,0.406201920231798,1.0915,0,0,3
0.6,0.4,1.015,0,1,3
0.56,0.3535533905932738,0.943,0,0,2
0.575,0.41231056256176607,1.0475,0,0,3
0.57,0.4183300132670378,0.9555,0,0,2
0.6,0.39370039370059057,1.036,0,1,3
0.565,0.41231056256176607,0.9065,0,1,2
0.545,0.37416573867739417,0.7505,0,1,2
0.44,0.31622776601683794,0.366,1,0,1
0.5,0.3872983346207417,0.662,0,1,2
0.36,0.3082207001484488,0.217,1,0,1
0.385,0.3082207001484488,0.252,1,0,1
0.39,0.3,0.3055,0,1,1
0.5,0.406201920231798,0.6885,0,1,2
0.36,0.33166247903553997,0.2335,1,0,1
0.335,0.31622776601683794,0.192,1,0,1
0.505,0.37416573867739417,0.85,0,0,2
0.395,0.31622776601683794,0.2715,1,0,1
0.41,0.324037034920393,0.3635,0,0,1
0.56,0.43588989435406733,0.714,0,0,2
0.565,0.4301162633521313,0.9815,0,1,2
0.565,0.4301162633521313,0.9265,0,1,2
0.605,0.4183300132670378,1.098,0,1,3
0.565,0.3872983346207417,0.8205,0,0,2
0.725,0.4636809247747852,1.891,0,1,3
0.675,0.4,1.41,0,0,3
0.665,0.44158804331639234,1.4385,0,0,3
0.565,0.39370039370059057,0.9245,0,0,2
0.645,0.4183300132670378,1.2915,0,0,3
0.575,0.37416573867739417,0.8375,0,1,2
0.64,0.4183300132670378,1.221,0,0,3
0.36,0.324037034920393,0.199,1,0,1
0.415,0.33166247903553997,0.2965,1,0,1
0.525,0.3674234614174767,0.7085,0,0,2
0.38,0.31622776601683794,0.2665,0,1,1
0.585,0.41231056256176607,0.9915,0,0,2
0.24,0.2645751311064591,0.0715,1,0,1
0.22,0.2345207879911715,0.0545,1,0,1
0.255,0.2645751311064591,0.0735,1,0,1
0.175,0.22360679774997896,0.0235,1,0,1
0.67,0.43588989435406733,1.3905,0,0,3
0.655,0.44158804331639234,1.388,0,1,3
0.68,0.458257569495584,1.7445,0,0,3
0.675,0.4472135954999579,1.4385,0,1,3
0.53,0.3674234614174767,0.7835,0,0,2
0.515,0.34641016151377546,0.646,0,0,2
0.43,0.34641016151377546,0.3575,1,0,1
0.52,0.34641016151377546,0.627,0,0,2
0.545,0.4,0.7715,0,0,2
0.53,0.4183300132670378,0.7395,0,1,2
0.465,0.3391164991562634,0.421,0,0,1
0.665,0.4183300132670378,1.347,0,1,3
0.735,0.4743416490252569,1.756,0,1,3
0.66,0.4301162633521313,1.32,0,1,3
0.7,0.4301162633521313,1.8075,0,0,3
0.575,0.39370039370059057,0.9325,0,1,2
0.57,0.3535533905932738,0.849,0,1,2
0.58,0.3872983346207417,0.9955,0,0,2
0.63,0.3807886552931954,1.0115,0,1,3
0.585,0.37416573867739417,0.908,0,0,2
0.55,0.36055512754639896,0.92,0,1,2
0.625,0.3872983346207417,1.2415,0,0,3
0.54,0.3674234614174767,0.8075,0,1,2
0.57,0.406201920231798,1.0595,0,0,3
0.59,0.3807886552931954,1.073,0,1,3
0.58,0.36055512754639896,0.921,0,1,2
0.655,0.39370039370059057,1.2895,0,0,3
0.655,0.4183300132670378,1.2635,0,1,3
0.625,0.44158804331639234,1.369,0,1,3
0.625,0.3872983346207417,0.953,0,0,2
0.64,0.4183300132670378,1.248,0,0,3
0.605,0.406201920231798,1.0105,0,0,3
0.615,0.39370039370059057,1.0385,0,0,3
0.555,0.4183300132670378,0.874,0,1,2
0.58,0.4242640687119285,0.854,0,0,2
0.62,0.4743416490252569,1.1835,0,0,3
0.62,0.4743416490252569,1.115,0,0,3
0.6,0.43588989435406733,1.129,0,0,3
0.625,0.43588989435406733,1.1745,0,0,3
0.6,0.4183300132670378,1.105,0,1,3
0.56,0.4847679857416329,0.8395,0,1,2
0.585,0.4743416490252569,1.055,0,1,3
0.56,0.4242640687119285,0.889,0,1,2
0.56,0.39370039370059057,0.8735,1,0,2
0.68,0.4301162633521313,1.1095,1,0,3
0.455,0.37416573867739417,0.5185,0,0,1
0.49,0.3807886552931954,0.6725,0,0,2
0.31,0.29154759474226505,0.146,0,1,1
0.275,0.2645751311064591,0.08,0,0,1
0.27,0.282842712474619,0.1,0,1,1
0.4,0.3391164991562634,0.2795,0,1,1
0.28,0.282842712474619,0.0915,0,1,1
0.325,0.3,0.147,0,1,1
0.345,0.3,0.203,0,0,1
0.21,0.22360679774997896,0.0385,0,1,1
0.36,0.3,0.1885,0,0,1
0.365,0.3391164991562634,0.218,1,0,1
0.2,0.2345207879911715,0.035,0,1,1
0.235,0.2449489742783178,0.0545,0,1,1
0.175,0.2,0.024,0,1,1
0.155,0.2,0.0155,0,1,1
0.57,0.39370039370059057,0.733,0,0,2
0.57,0.4,0.9715,0,0,2
0.385,0.3082207001484488,0.24,0,1,1
0.53,0.4301162633521313,0.752,1,0,2
0.46,0.36055512754639896,0.458,0,0,1
0.47,0.34641016151377546,0.4705,1,0,1
0.435,0.33166247903553997,0.38,0,0,1
0.47,0.37416573867739417,0.4985,1,0,1
0.465,0.36055512754639896,0.454,1,0,1
0.52,0.37416573867739417,0.5775,1,0,1
0.29,0.27386127875258304,0.1165,0,1,1
0.275,0.2645751311064591,0.094,0,1,1
0.375,0.3391164991562634,0.2705,0,0,1
0.5,0.37416573867739417,0.604,0,0,2
0.44,0.3391164991562634,0.415,0,0,1
0.42,0.3391164991562634,0.2885,0,1,1
0.445,0.3391164991562634,0.3615,0,1,1
0.38,0.324037034920393,0.257,0,0,1
0.32,0.27386127875258304,0.1555,0,1,1
0.255,0.25495097567963926,0.08,0,1,1
0.205,0.21213203435596426,0.0425,0,1,1
0.565,0.4,0.795,0,0,2
0.555,0.4242640687119285,0.875,1,0,2
0.65,0.4,1.1625,1,0,3
0.615,0.39370039370059057,0.9885,1,0,2
0.56,0.406201920231798,0.8,1,0,2
0.48,0.34641016151377546,0.514,1,0,1
0.485,0.3535533905932738,0.591,1,0,1
0.5,0.3872983346207417,0.6265,1,0,2
0.525,0.3872983346207417,0.795,1,0,2
0.66,0.406201920231798,1.1905,0,0,3
0.66,0.41231056256176607,1.326,0,0,3
0.52,0.3807886552931954,0.66,1,0,2
0.44,0.324037034920393,0.364,0,0,1
0.515,0.34641016151377546,0.659,1,0,2
0.475,0.3391164991562634,0.452,0,0,1
0.545,0.3872983346207417,0.7335,0,0,2
0.47,0.36055512754639896,0.5465,0,0,1
0.35,0.25495097567963926,0.179,0,1,1
0.485,0.36055512754639896,0.581,1,0,1
0.435,0.3535533905932738,0.406,1,0,1
0.28,0.282842712474619,0.1085,0,1,1
0.41,0.3391164991562634,0.387,0,0,1
0.45,0.37416573867739417,0.474,1,0,1
0.45,0.3674234614174767,0.443,1,0,1
0.59,0.39370039370059057,1.066,0,0,3
0.57,0.37416573867739417,0.9535,0,0,2
0.61,0.3872983346207417,0.9665,1,0,2
0.61,0.37416573867739417,1.133,0,0,3
0.56,0.37416573867739417,0.9175,1,0,2
0.585,0.4183300132670378,0.982,0,0,2
0.58,0.3872983346207417,0.8865,1,0,2
0.63,0.4183300132670378,1.3675,0,0,3
0.625,0.4183300132670378,1.233,0,0,3
0.55,0.3872983346207417,0.806,1,0,2
0.645,0.43588989435406733,1.4635,0,0,3
0.46,0.37416573867739417,0.4935,1,0,1
0.41,0.31622776601683794,0.363,0,0,1
0.495,0.3535533905932738,0.6655,1,0,2
0.52,0.41231056256176607,0.6805,1,0,2
0.55,0.3807886552931954,0.8285,0,0,2
0.45,0.37416573867739417,0.4625,0,1,1
0.405,0.34641016151377546,0.3095,0,0,1
0.51,0.3872983346207417,0.745,1,0,2
0.37,0.3391164991562634,0.25,0,0,1
0.525,0.4183300132670378,0.874,1,0,2
0.66,0.4242640687119285,1.514,0,0,3
0.535,0.3872983346207417,0.6995,0,1,2
0.575,0.4242640687119285,0.8525,1,0,2
0.55,0.37416573867739417,0.7135,0,0,2
0.605,0.37416573867739417,0.939,1,0,2
0.605,0.3807886552931954,1.054,1,0,3
0.56,0.44158804331639234,0.981,0,0,2
0.535,0.3807886552931954,0.926,1,0,2
0.385,0.33166247903553997,0.286,0,0,1
0.39,0.31622776601683794,0.265,0,0,1
0.47,0.3391164991562634,0.4885,1,0,1
0.515,0.37416573867739417,0.5555,1,0,1
0.425,0.3535533905932738,0.425,1,0,1
0.345,0.3,0.195,0,1,1
